f	x	dx
-1.50000000000000	0	-1
-1.61888118102795	-0.128888895751181	-1.18486341389611
-1.62445506005717	-0.280232704391357	-1.37800726113017
-1.40340428576650	-0.453975402538966	-1.55969674592518
-0.832257970391422	-0.646881864713095	-1.69564722958983
0.130498498555935	-0.850923931411577	-1.74060920271548
1.32231515928812	-1.05285772537444	-1.65550916352402
2.37411722443146	-1.23650876368546	-1.43378394221519
2.93479465213692	-1.38763967421649	-1.11441141845256
2.92469818963867	-1.49851931146377	-0.763340041402217
2.53103865507514	-1.56904866376237	-0.438689819252213
2.00694432026149	-1.60441241014727	-0.170477051736975
1.52288420916316	-1.61172495454409	0.0370712558372223
1.14691224793159	-1.59766511785422	0.193555790995194
0.884584564455106	-1.56747453710894	0.312469010560813
0.717355756922508	-1.52483522066987	0.406241432570166
0.623408695137363	-1.47210522392610	0.484791959786386
0.585541236263639	-1.41061466615880	0.555698328967643
0.592900552889666	-1.34090402818470	0.624879985416894
0.640653724941946	-1.26287601595748	0.697336797564978
0.729406141874406	-1.17586364800783	0.777823599652481
0.864990140111060	-1.07862202779480	0.871475240354860
1.05867383043348	-0.969246702815855	0.984433106077108
1.32733941103138	-0.845016184630012	1.12450240515097
1.69209821387372	-0.702157802627154	1.30176247135162
2.17093588254762	-0.535561024247750	1.52872834734449
2.75403240390620	-0.338553451109722	1.81878567757310
3.33771575258497	-0.103111611959322	2.17957602254231
3.58938247025685	0.178534197606157	2.59464743023121
2.81050761141397	0.509069161336960	2.98718417604571
0.230005702640897	0.876615465454367	3.18619019011919
-3.71450751746285	1.24556872011157	2.98483046290515
-6.65878487617839	1.56393203552913	2.34913031909797
-6.85570342706370	1.79290214079141	1.52413807813165
-5.20300949809326	1.92840300161233	0.802972146615791
-3.33651310027834	1.99145982688192	0.302336046744944
-1.98210578931108	2.00735946029547	-0.00555729496578655
-1.16129873328888	1.99502716648864	-0.186508079267150
-0.703331963407558	1.96611157872152	-0.293779530346646
-0.458399137114105	1.92716113494629	-0.360793179967429
