ddx	x	dx	AZ	TQ	B	V t
1.69605725546168	-0.000368863356437847	-0.0336434525749767	188.858309279334	-9.47573351688561e-52	75.4738042034438	23.9923983365551	0.00993190343355559
2.90974245437464	-0.000636677792541980	-0.0134234598112717	189.114362718119	1.15134699265692e-51	75.4718462120073	23.8672595542211	0.0197310960714083
-2.76918193323366	-0.000725137454205893	-0.0136846244165538	189.353695260197	-1.04156663616579e-51	75.4372622559358	23.6971564544000	0.0296916841036573
0.955523141661778	-0.000959529255672164	-0.0277080240287431	189.616594893151	5.29075287921223e-52	75.4466467488960	23.4953119231959	0.0395180780562436
1.54480113915812	-0.00117769836505542	-0.0122358124291409	189.870041792497	3.72849397106752e-52	75.4203555413681	23.2658541357384	0.0494376348645917
-0.211110951042533	-0.00124404117650754	-0.00596466798189866	190.112648640059	-1.51159931451919e-51	75.3898954094400	23.0118792142712	0.0593171338191668
1.22980622966198	-0.00131466283737800	-0.00338028717736721	190.374893061476	2.59133203086385e-51	75.3845383993357	22.7676024171162	0.0691855254115019
-2.78436866441344	-0.00131861125358839	-0.00562761084654281	190.635778535384	-3.21675597846660e-51	75.3691244172235	22.5415455336439	0.0791008266192257
-2.30073150461173	-0.00155261341104038	-0.0398916530132292	190.895451790300	2.98884699317885e-51	75.3545784922880	22.3447378178135	0.0889549458273675
1.41139105225470	-0.00199225889460309	-0.0414790112365471	191.157440220239	-1.64059245699760e-51	75.3538090630964	22.1828333420854	0.0988651323106683
1.44605473301422	-0.00231977647069688	-0.0245526808334858	191.416809402654	-8.17727591869826e-52	75.3665514727298	22.0415354795720	0.108737046120914
-0.914385705765783	-0.00252857343687522	-0.0204782326830573	191.678659188959	3.98983536711044e-51	75.3576435335586	21.9208279136381	0.118624952705078
-3.63267624156691	-0.00282974005219724	-0.0451770993352720	191.938055923373	-7.07352334093038e-51	75.3482080033224	21.8060891289454	0.128516655611720
-1.78129839951550	-0.00345049182701885	-0.0751176129535341	192.200147166500	8.97228463697348e-51	75.3580472368967	21.6944772747792	0.138391487339895
-1.09104190909763	-0.00426690694161426	-0.0874345300445081	192.459127446537	-8.55336074737515e-51	75.3388359411647	21.5882666980989	0.148288300397575
1.29301365327122	-0.00517070644049285	-0.0892119346634609	192.721567484793	5.02271027662503e-51	75.3355633607120	21.4719490930546	0.158164895713108
2.18926290886653	-0.00596220225818847	-0.0673672678498886	192.979942682170	1.66475505866607e-51	75.3359401395259	21.3755196476659	0.168055511890775
0.456221883772035	-0.00655773541050366	-0.0550749754821013	193.245748011853	-1.04865034803610e-50	75.3294469820088	21.3019382438731	0.177939937925149
0.138721792240124	-0.00709195333139268	-0.0518880301272545	193.528337902778	1.92719641249307e-50	75.3624684356577	21.2463797977149	0.187823471378497
-0.851184360240782	-0.00762327889718722	-0.0564108549179197	193.781948350926	-2.49844550624538e-50	75.3522114404719	21.2214766933070	0.197712720129255
0.0441051936721236	-0.00821516931217284	-0.0600757091601809	194.048155796337	2.44151507843924e-50	75.3156640245646	21.2231904829150	0.207594217684684
-1.87717749151173	-0.00883891757691806	-0.0682885080569433	194.326360580225	-1.52171638842086e-50	75.2978875673020	21.2751204505030	0.217483019708048
1.08132981510665	-0.00959741315235572	-0.0782648036130914	194.588238158753	-2.93828926599802e-51	75.2915036652619	21.3778778880664	0.227366623184078
3.04300820997906	-0.0102593218647108	-0.0506208759366122	194.865734151790	2.74319162912313e-50	75.3059709946844	21.5213467604787	0.237252652951220
1.10884337702835	-0.0106574980919901	-0.0327222929903850	195.131343807793	-5.24040162966163e-50	75.3049540044098	21.6952775817171	0.247138824396771
2.25642157896061	-0.0109047186510577	-0.0142593716803908	195.403284357838	6.94584433494620e-50	75.3117266605479	21.8851583547339	0.257023060588786
-1.28205748353880	-0.0109814977496130	-0.00750194746024344	195.675028412145	-6.95239948349589e-50	75.3021815758352	22.0865659523963	0.266910034965743
-1.77030442991715	-0.0111474328778770	-0.0261850485596298	195.941425984352	4.57014473777958e-50	75.3012961093400	22.2619224230640	0.276794370127579
-3.02217817592168	-0.0115069041576365	-0.0480386969488994	196.217228843125	3.48410795215858e-51	75.3081147755046	22.4086805521549	0.286680627744687
-0.431012597463892	-0.0121302523002836	-0.0722397551561854	196.481594725689	-7.13803035059200e-50	75.2856194651733	22.5286139265389	0.296565943898510
2.52893904304906	-0.0127893470691271	-0.0542468902408015	196.756913355114	1.42206034505646e-49	75.2975545421881	22.6068416822256	0.306451272668014
-0.753536416716892	-0.0132642337319054	-0.0468714972289771	197.024246982635	-1.92784704757924e-49	75.2834777339292	22.6675145788051	0.316337253105115
1.72247882058382	-0.0137465132201910	-0.0448878804387825	197.294430671970	1.97522923767594e-49	75.2697488808045	22.7096604533269	0.326222268572447
0.145022972199117	-0.0141034806421481	-0.0293541337240507	197.568663185416	-1.36235777738973e-49	75.2707165176442	22.7301475330852	0.336108235749648
-2.62519917923965	-0.0144537333749954	-0.0454452754620096	197.830499790277	3.27918623883547e-51	75.2406703816460	22.7252164296768	0.345993493694960
-1.80240135351275	-0.0150340740139429	-0.0691825888042222	198.116378005478	1.84622897311213e-49	75.2425478615593	22.6986899711135	0.355879114600758
0.845182594819938	-0.0157783136968405	-0.0751380826698710	198.392511061921	-3.85077110561274e-49	75.2226108141163	22.6446345224818	0.365764707915543
1.23632677508897	-0.0164580294776314	-0.0601060957465945	198.666717841486	5.34212670382801e-49	75.1958820217568	22.5361700932507	0.375650083330230
