LSS	V	B	TQ	t
1.01110952614751	16.4600313090701	0.849259771287907	4.25460882012693e-05	900.850000000000
1.07341970826655	16.8831523866037	0.802904367318354	0.0453000862665057	901.450000000000
1.08807827462722	17.4842467382923	0.788587569284801	0.0503507815442664	901.750000000000
1.12492099655314	18.4116094079279	0.735165322065944	0.0537752531257967	902.300000000000
1.13652259344080	18.8119315927783	0.714160349088198	0.0550150227281569	902.450000000000
1.21062821875344	19.5064372648286	0.674056198197260	0.0619363236318249	903.200000000000
1.23993632213813	19.4668433082115	0.653061305745073	0.0651859208830299	903.450000000000
1.26196531407049	20.3397764906154	0.647496888100643	0.0673993340078958	903.650000000000
1.36259530551869	21.3448810640322	0.608673746267001	0.0785343278990166	904.450000000000
1.48778488350087	20.5005214519189	0.595428827514078	0.0971477060847191	905.300000000000
1.49916752094416	19.8621265085330	0.591263128633253	0.0992687919397159	905.400000000000
1.50729045652161	19.6198913313100	0.589857200685167	0.100616636802474	905.450000000000
1.55332740966698	18.6606981734893	0.570473644662705	0.115196333587258	905.900000000000
1.60797919516089	17.6156656747030	0.571143929557173	0.137427694456768	906.300000000000
1.62080653475840	17.2573255082247	0.562968951653959	0.144214121788933	906.450000000000
1.65019582416443	17.3974201098018	0.571025637703791	0.168464339408445	906.700000000000
1.74209537731598	18.4903052868817	0.573586118296758	0.0863708891042449	907.400000000000
1.74877374043735	18.5380295922056	0.573794838935231	0.0869165135636933	907.450000000000
1.77468807015569	18.6060420608071	0.580816631411055	0.0894260989572147	907.700000000000
1.84954977436623	17.8302079823235	0.579735678856015	0.0974382895895133	908.450000000000
1.91046881948311	17.4245549208528	0.582194365190913	0.104846396155630	909.100000000000
1.93769894326884	18.2969168118186	0.581396748518748	0.117108484169776	909.450000000000
2.01320954093170	18.3419178231768	0.579569598109778	0.152626897438282	910.400000000000
2.01375514520647	18.5432814882825	0.577472728737709	0.153627532840577	910.450000000000
2.02397125240615	18.5717451997560	0.564921010904938	0.157984973284767	910.750000000000
2.04533740500862	17.5107948469230	0.543438984129257	0.166409034505106	911.350000000000
2.05015237375569	17.3940897122634	0.540152942713012	0.167442072421021	911.450000000000
2.08532998355047	17.7245336274247	0.525505393023933	0.180440574624490	912.250000000000
2.09824099011786	16.7702881909231	0.509123566148178	0.183773712448205	912.450000000000
2.10322558457017	16.5536798767951	0.517457851140082	0.186543133790423	912.600000000000
2.18108011972216	15.8682416030351	0.522884702332976	0.203054598906397	913.450000000000
2.18957225348278	15.5728711610366	0.517704258865942	0.206021681761839	913.700000000000
2.24495196717867	15.0469006452881	0.519711414996414	0.216147947096295	914.450000000000
2.30634797707020	14.5064894488851	0.520708900803474	0.228627905799272	915.350000000000
2.30589133936353	14.3453117744025	0.520712820949293	0.229022736285672	915.450000000000
2.32539716578234	14.3972246737361	0.526421150750538	0.231495724495124	915.650000000000
2.36238336326245	14.7807481345338	0.516858383627188	0.239768088931607	916.450000000000
2.38482070813592	15.4846443200315	0.511340158740307	0.243889223952905	916.750000000000
2.42179833963697	15.8970063808729	0.511112730704636	0.251897594238438	917.450000000000
2.47343495130924	16.4986567663020	0.502180552829864	0.262566448900213	918.450000000000
2.47342183942581	16.5286759424297	0.499731716181990	0.263124652446934	918.500000000000
2.48808155213924	16.1646342051730	0.501006858549861	0.265443099291894	918.750000000000
2.49722735424022	15.8027922868796	0.488574860885498	0.268720210222242	919.050000000000
2.50501702757020	15.7341088932020	0.476926511727190	0.270075009710047	919.450000000000
2.57152325198288	15.5681876955808	0.486295665870276	0.283165461152547	920.350000000000
2.57709230440882	15.3261553992946	0.486875913806485	0.284856747012496	920.450000000000
2.58978893859094	15.3942642424064	0.481464982503089	0.287945268698138	920.700000000000
2.60490516463960	16.2450324643809	0.467353430874968	0.292430849538456	921.200000000000
2.60889992887423	16.7703558879340	0.457618264052250	0.293258241499859	921.450000000000
2.63687283947522	16.9465681044027	0.424948327727748	0.299465768935550	922.450000000000
2.67133383919192	17.7245425323870	0.405769594247164	0.306620734623768	923.200000000000
2.67907615262593	17.2136358382380	0.395071299537379	0.308640804825026	923.450000000000
2.71599772912863	16.2253790730314	0.375937344588382	0.317115566952193	924.200000000000
2.73921317225523	16.7342764766259	0.387051255068786	0.321112019749138	924.450000000000
2.80217076738976	16.5755750329785	0.379082644403485	0.337253384949374	925.350000000000
2.81626688231555	16.3033750782859	0.386555571223125	0.339506406592552	925.450000000000
2.88538255910708	16.5182960437775	0.422047493963294	0.355347209641710	926.050000000000
2.91651094907360	15.8163397273563	0.424346724090176	0.364861933561584	926.450000000000
2.95887374258469	16.4452615459792	0.410212501146425	0.376446628234425	927.400000000000
2.96309403068868	16.5027211446437	0.411741246828703	0.377182602386525	927.450000000000
2.97848805707328	16.5117159624025	0.393492401446285	0.381429975208190	928.100000000000
2.99414974742989	15.9521017325933	0.389715222862862	0.386401905202148	928.450000000000
3.01223714615152	16.4749541647298	0.392493429343909	0.389723104800355	928.800000000000
3.06347411705182	17.1233793210614	0.402684886735113	0.402931800370348	929.450000000000
3.13121290721541	16.5374696985008	0.414091091974186	0.420120650507902	930.400000000000
3.13478396849381	16.4401382517633	0.412759882256560	0.421500086161795	930.450000000000
3.12997732561807	16.4523330119272	0.403758369674587	0.422542374666832	930.650000000000
3.16667173670996	16.7664250609695	0.395120572543465	0.431316030762389	931.450000000000
3.20784858333983	16.3965519241342	0.401001043004631	0.441160004192231	932.150000000000
3.22523311441968	17.1836677719148	0.400314429467195	0.447068156738644	932.450000000000
3.27326117291680	17.4800903298676	0.407213653553081	0.459765009450596	933.250000000000
3.28565963453708	17.6312978932432	0.403970891278289	0.463641278711915	933.450000000000
3.31555015449748	17.5576055520550	0.394328024502055	0.472842185896516	934.250000000000
3.32559725566415	17.3829411647123	0.396346700063694	0.475549143754532	934.450000000000
3.34899214522072	16.5722601946813	0.395221232016999	0.482178457934595	934.950000000000
3.38203247255804	15.8755125406786	0.399797342469575	0.491103900528289	935.450000000000
3.40985815492624	15.8770297901473	0.390148487305088	0.499956985399554	936.050000000000
3.41286454957934	15.6163157526577	0.377346130348162	0.501973374761897	936.300000000000
