MSS	V	B	TQ	lambda t
1.37271857468852	16.9794189749383	1.20163651860843	4.54736743747542e-16	0.818842288651810	230.500000000000
1.35491073198023	17.0554742462027	1.20467561049958	3.54149487831503e-16	0.791016941762301	230.750000000000
1.33642280312337	17.1313708794337	1.20441720546933	3.36877393717827e-16	0.781412353364181	230.800000000000
1.28156469446377	17.2402492578331	1.20732394123077	2.89953005617983e-16	0.763249979956050	230.950000000000
1.28678865073380	17.2440602079609	1.20885102058006	2.75811795560477e-16	0.757755568920154	231
1.29534775156837	17.3236701016770	1.21008089500463	2.62360304306321e-16	0.748705289687448	231.050000000000
1.29960941590818	17.4360547786011	1.21132686093235	2.49564819058204e-16	0.737792452482455	231.100000000000
1.31905382984853	17.4358579472566	1.21227611074877	2.37393385074502e-16	0.733008487511988	231.150000000000
1.33555469676081	17.3785750193777	1.21295395675498	2.25815552497859e-16	0.729704447500408	231.200000000000
1.37113945552099	17.3505016420061	1.21425811010084	2.04326347083828e-16	0.723038349548936	231.300000000000
1.39162578577815	17.3975236000138	1.21441250104060	1.94361237676566e-16	0.714751280319991	231.350000000000
1.40179355361554	17.4096006217981	1.21468432481807	1.84882159016159e-16	0.710120687845277	231.400000000000
1.36949404071085	17.3515297160301	1.21503891377000	1.67288272285162e-16	0.697991390272142	231.500000000000
1.33326590215601	17.3584827568737	1.21579906922805	1.59129516788945e-16	0.692257183932769	231.550000000000
1.31223363903441	17.4769361921623	1.21727170770655	1.51368687413387e-16	0.686861434170728	231.600000000000
1.29457779806536	17.5381321422184	1.21861601843175	1.43986372920783e-16	0.681051233857125	231.650000000000
1.28411575351629	17.5433947160997	1.21981414518202	1.36964092917985e-16	0.677276984864144	231.700000000000
1.29954809855371	17.5396903841893	1.22105960451650	1.30284280991214e-16	0.673196413952813	231.750000000000
1.29874793868599	17.4950076572536	1.22223652011953	1.23930238539741e-16	0.668890530469626	231.800000000000
1.28251762780381	17.4405548117956	1.22346328080285	1.17886080780591e-16	0.667681800901297	231.850000000000
1.24900398458978	17.3604937989299	1.22602226297027	1.06667703327751e-16	0.665073942928590	231.950000000000
