filter_r	x		Wind_U		TI		Average_Ct
85		3.6		6		10		0.7821783
84		3.7		6		10		0.7821783
83		3.8		6		10		0.7821783
81		3.9		6		10		0.7821783
80		4		6		10		0.7821783
79		4.1		6		10		0.7821783
78		4.2		6		10		0.7821783
76		4.3		6		10		0.7821783
75		4.4		6		10		0.7821783
74		4.5		6		10		0.7821783
74		4.6		6		10		0.7821783
74		4.7		6		10		0.7821783
74		4.8		6		10		0.7821783
74		4.9		6		10		0.7821783
74		5		6		10		0.7821783
74		5.1		6		10		0.7821783
74		5.2		6		10		0.7821783
74		5.3		6		10		0.7821783
75		5.4		6		10		0.7821783
75		5.5		6		10		0.7821783
75		5.6		6		10		0.7821783
74		5.7		6		10		0.7821783
74		5.8		6		10		0.7821783
74		5.9		6		10		0.7821783
74		6		6		10		0.7821783
74		6.1		6		10		0.7821783
73		6.2		6		10		0.7821783
73		6.3		6		10		0.7821783
73		6.4		6		10		0.7821783
73		6.5		6		10		0.7821783
73		6.6		6		10		0.7821783
73		6.7		6		10		0.7821783
73		6.8		6		10		0.7821783
72		6.9		6		10		0.7821783
72		7		6		10		0.7821783
72		7.1		6		10		0.7821783
72		7.2		6		10		0.7821783
72		7.3		6		10		0.7821783
72		7.4		6		10		0.7821783
72		7.5		6		10		0.7821783
71		7.6		6		10		0.7821783
71		7.7		6		10		0.7821783
70		7.8		6		10		0.7821783
70		7.9		6		10		0.7821783
70		8		6		10		0.7821783
69		8.1		6		10		0.7821783
69		8.2		6		10		0.7821783
68		8.3		6		10		0.7821783
68		8.4		6		10		0.7821783
67		8.5		6		10		0.7821783
67		8.6		6		10		0.7821783
66		8.7		6		10		0.7821783
66		8.8		6		10		0.7821783
65		8.9		6		10		0.7821783
65		9		6		10		0.7821783
64		9.1		6		10		0.7821783
64		9.2		6		10		0.7821783
63		9.3		6		10		0.7821783
63		9.4		6		10		0.7821783
62		9.5		6		10		0.7821783
62		9.6		6		10		0.7821783
61		9.7		6		10		0.7821783
61		9.8		6		10		0.7821783
60		9.9		6		10		0.7821783
59		10		6		10		0.7821783
59		10.1		6		10		0.7821783
58		10.2		6		10		0.7821783
58		10.3		6		10		0.7821783
57		10.4		6		10		0.7821783
56		10.5		6		10		0.7821783
56		10.6		6		10		0.7821783
56		10.7		6		10		0.7821783
56		10.8		6		10		0.7821783
55		10.9		6		10		0.7821783
55		11		6		10		0.7821783
55		11.1		6		10		0.7821783
55		11.2		6		10		0.7821783
54		11.3		6		10		0.7821783
54		11.4		6		10		0.7821783
54		11.5		6		10		0.7821783
54		11.6		6		10		0.7821783
53		11.7		6		10		0.7821783
53		11.8		6		10		0.7821783
53		11.9		6		10		0.7821783
53		12		6		10		0.7821783
52		12.1		6		10		0.7821783
52		12.2		6		10		0.7821783
52		12.3		6		10		0.7821783
52		12.4		6		10		0.7821783
52		12.5		6		10		0.7821783
51		12.6		6		10		0.7821783
51		12.7		6		10		0.7821783
51		12.8		6		10		0.7821783
51		12.9		6		10		0.7821783
51		13		6		10		0.7821783
50		13.1		6		10		0.7821783
50		13.2		6		10		0.7821783
50		13.3		6		10		0.7821783
50		13.4		6		10		0.7821783
50		13.5		6		10		0.7821783
48		13.6		6		10		0.7821783
47		13.7		6		10		0.7821783
45		13.8		6		10		0.7821783
43		13.9		6		10		0.7821783
42		14		6		10		0.7821783
40		14.1		6		10		0.7821783
40		14.2		6		10		0.7821783
40		14.3		6		10		0.7821783
40		14.4		6		10		0.7821783
40		14.5		6		10		0.7821783
40		14.6		6		10		0.7821783
40		14.7		6		10		0.7821783
40		14.8		6		10		0.7821783
40		14.9		6		10		0.7821783
40		15		6		10		0.7821783
40		15.1		6		10		0.7821783
40		15.2		6		10		0.7821783
40		15.3		6		10		0.7821783
40		15.4		6		10		0.7821783
40		15.5		6		10		0.7821783
40		15.6		6		10		0.7821783
40		15.7		6		10		0.7821783
40		15.8		6		10		0.7821783
40		15.9		6		10		0.7821783
40		16		6		10		0.7821783
40		16.1		6		10		0.7821783
40		16.2		6		10		0.7821783
40		16.3		6		10		0.7821783
40		16.4		6		10		0.7821783
40		16.5		6		10		0.7821783
298		0.1		6		14		0.7831775
293		0.2		6		14		0.7831775
288		0.3		6		14		0.7831775
283		0.4		6		14		0.7831775
278		0.5		6		14		0.7831775
273		0.6		6		14		0.7831775
268		0.7		6		14		0.7831775
263		0.8		6		14		0.7831775
258		0.9		6		14		0.7831775
253		1		6		14		0.7831775
248		1.1		6		14		0.7831775
243		1.2		6		14		0.7831775
238		1.3		6		14		0.7831775
233		1.4		6		14		0.7831775
228		1.5		6		14		0.7831775
223		1.6		6		14		0.7831775
218		1.7		6		14		0.7831775
213		1.8		6		14		0.7831775
208		1.9		6		14		0.7831775
203		2		6		14		0.7831775
198		2.1		6		14		0.7831775
193		2.2		6		14		0.7831775
188		2.3		6		14		0.7831775
183		2.4		6		14		0.7831775
178		2.5		6		14		0.7831775
173		2.6		6		14		0.7831775
168		2.7		6		14		0.7831775
164		2.8		6		14		0.7831775
160		2.9		6		14		0.7831775
156		3		6		14		0.7831775
153		3.1		6		14		0.7831775
149		3.2		6		14		0.7831775
146		3.3		6		14		0.7831775
143		3.4		6		14		0.7831775
140		3.5		6		14		0.7831775
139		3.6		6		14		0.7831775
137		3.7		6		14		0.7831775
135		3.8		6		14		0.7831775
133		3.9		6		14		0.7831775
132		4		6		14		0.7831775
130		4.1		6		14		0.7831775
128		4.2		6		14		0.7831775
127		4.3		6		14		0.7831775
125		4.4		6		14		0.7831775
124		4.5		6		14		0.7831775
119		4.6		6		14		0.7831775
115		4.7		6		14		0.7831775
111		4.8		6		14		0.7831775
108		4.9		6		14		0.7831775
104		5		6		14		0.7831775
101		5.1		6		14		0.7831775
98		5.2		6		14		0.7831775
