MFA	V	B	TQ	TSR t
0.158286460034455	18.7261150512579	1.55281557012297	1.54417899457717e-20	0.207585505087839	0
-0.0378239295281562	17.5629505410776	0.178869241538009	0.981165095244444	4.32607634085651	0.0499999999999545
-0.0499119793850196	17.6976619112866	0.179415571572562	0.983720212331045	4.28962699166401	0.100000000000023
-0.0523281490824558	17.7435807151211	0.179730479656361	0.986919816307032	4.28150317054437	0.149999999999977
-0.0528971737541525	17.7640026890898	0.179119309412236	0.988570861583276	4.27898826742664	0.200000000000045
-0.0555220763138955	17.8937072191209	0.179091014499204	0.988353279011096	4.24786803091692	0.250000000000000
-0.0537912501432354	17.9699463687861	0.179683602937312	0.987056790811280	4.23091521901914	0.299999999999955
-0.0531704390675907	18.0276839683891	0.180344857013332	0.986659725443657	4.21583862639387	0.350000000000023
-0.0446479673141930	18.1056201584190	0.181404406868827	0.988207196065793	4.19734985413628	0.399999999999977
-0.0312523845485386	18.2469450371206	0.181729099390022	0.991161205847139	4.16431881864317	0.450000000000046
-0.0237464705046095	18.3365163696877	0.181888646283712	0.994079081331355	4.14298243412111	0.500000000000000
-0.0246155787047778	18.3813923008033	0.182794332100895	0.994932335628120	4.13308627570799	0.549999999999955
-0.0348889804009420	18.4947630559904	0.184086771229034	0.992619002234736	4.10974259043323	0.600000000000023
-0.0487185999582353	18.5749439829948	0.185304535671552	0.988631393638055	4.09400427614772	0.649999999999977
-0.0610505484041322	18.6424979233507	0.186620849805342	0.985558875795984	4.08099342755529	0.700000000000046
-0.0627189593314761	18.7323364465478	0.187071307951748	0.984999272974446	4.06401153318862	0.750000000000000
-0.0612343460298026	18.7635720488749	0.185500505044174	0.987613589835679	4.05654689411077	0.799999999999955
-0.0638535664599060	18.8904013878981	0.183207952636948	0.992413588576187	4.02706112315713	0.850000000000023
-0.0620260222333162	18.9609506301766	0.181251748242014	0.996631343026815	4.00914366568653	0.899999999999977
-0.0551316649431263	18.8965097021695	0.179998450488777	0.998153366594425	4.01971469301839	0.950000000000046
-0.0443799285048652	18.8791852368833	0.180643081450225	0.996241846196901	4.02109833435846	1
-0.0304950184580316	18.8095445936962	0.182538885263214	0.990794778015687	4.03463064204214	1.04999999999995
-0.0227135755967596	18.7760728757890	0.182888996206251	0.983788713572331	4.04171715618670	1.10000000000002
-0.0392206443577265	18.8336195522418	0.181656298524752	0.979340754797165	4.03071721815587	1.14999999999998
-0.0546235399307702	18.8769094736788	0.179771619332301	0.979759868620444	4.02285658559898	1.20000000000005
-0.0590327826716072	18.9351652287809	0.176662816634509	0.984398600519721	4.01139111864277	1.25000000000000
-0.0600468941943606	19.0401826970688	0.173588639901637	0.991118766316082	3.98991275829592	1.29999999999995
-0.0537871441335141	19.1038973148915	0.171814664388184	0.996393417360110	3.97331508079908	1.35000000000002
-0.0471718746213675	19.1172725677943	0.171215548108572	0.997382254526072	3.96760084325959	1.39999999999998
